HR,Name,Const,RAh,RAmin,RAs,DEd,DEm,DEs,V,BminusV,RA,Hemisphere,DEC
1,,,0,5,9.9,45,13,45,6.7,0.07,0.08608333333,1,45.22916667
2,,,0,5,3.8,0,30,11,6.29,1.1,0.08438888889,1,0.5030555556
3,33,Psc,0,5,20.1,-5,42,27,4.61,1.04,0.08891666667,-1,-5.7075
4,86,Peg,0,5,42,13,23,46,5.51,0.9,0.095,1,13.39611111
5,,,0,6,16,58,26,12,5.96,0.67,0.1044444444,1,58.43666667
6,,,0,6,19,-49,4,30,5.7,0.52,0.1052777778,-1,-49.075
7,10,Cas,0,6,26.5,64,11,46,5.59,-0.03,0.1073611111,1,64.19611111
8,,,0,6,36.8,29,1,17,6.13,0.75,0.1102222222,1,29.02138889
9,,,0,6,50.1,-23,6,27,6.18,0.38,0.1139166667,-1,-23.1075
10,,,0,7,18.2,-17,23,11,6.19,0.14,0.1217222222,-1,-17.38638889
11,,,0,7,44.1,-2,32,56,6.43,-0.14,0.1289166667,-1,-2.548888889
12,,,0,7,46.8,-22,30,32,5.94,0.14,0.1296666667,-1,-22.50888889
13,,,0,8,3.5,-33,31,46,5.68,1.12,0.1343055556,-1,-33.52944444
14,,,0,8,12.1,-2,26,52,6.07,1.38,0.1366944444,-1,-2.447777778
15,21Alp,And,0,8,23.3,29,5,26,2.06,-0.11,0.1398055556,1,29.09055556
16,,,0,8,17.4,-8,49,26,5.99,1.04,0.1381666667,-1,-8.823888889
17,,,0,8,41,36,37,36,6.19,0.48,0.1447222222,1,36.62666667
18,,,0,8,33.4,-17,34,39,6.06,1.67,0.1426111111,-1,-17.5775
19,,,0,8,52.2,25,27,46,6.23,0.97,0.1478333333,1,25.46277778
20,,,0,9,20.2,79,42,53,6.01,0.19,0.1556111111,1,79.71472222
21,11Bet,Cas,0,9,10.7,59,8,59,2.27,0.34,0.1529722222,1,59.14972222
22,87,Peg,0,9,2.4,18,12,43,5.53,1.04,0.1506666667,1,18.21194444
23,,,0,9,2.4,-54,0,7,6.33,0.74,0.1506666667,-1,-54.00194444
24,Kap1,Scl,0,9,21,-27,59,16,5.42,0.42,0.1558333333,-1,-27.98777778
25,Eps,Phe,0,9,24.7,-45,44,51,3.88,1.03,0.1568611111,-1,-45.7475
26,34,Psc,0,10,2.3,11,8,44,5.51,-0.07,0.1673055556,1,11.14555556
27,22,And,0,10,19.3,46,4,20,5.03,0.4,0.1720277778,1,46.07222222
28,,,0,10,29.7,57,9,56,6.74,-0.08,0.1749166667,1,57.16555556
29,,,0,10,18.8,-5,14,55,5.84,0.98,0.1718888889,-1,-5.248611111
30,Gam3,Oct,0,10,2.1,-82,13,26,5.28,1.05,0.16725,-1,-82.22388889
31,,,0,10,42.8,-12,34,48,5.85,1.01,0.1785555556,-1,-12.58
32,,,0,10,38.6,-73,13,28,6.64,0.37,0.1773888889,-1,-73.22444444
33,6,Cet,0,11,15.9,-15,28,5,4.89,0.49,0.18775,-1,-15.46805556
34,Kap2,Scl,0,11,34.4,-27,47,59,5.41,1.34,0.1928888889,-1,-27.79972222
35,The,Scl,0,11,44,-35,7,59,5.25,0.44,0.1955555556,-1,-35.13305556
36,,,0,11,59.1,48,9,9,6.16,1.45,0.19975,1,48.1525
37,,,0,12,10,-17,56,18,5.25,1.48,0.2027777778,-1,-17.93833333
38,,,0,12,50.4,37,41,36,6.73,-0.13,0.214,1,37.69333333
39,88Gam,Peg,0,13,14.2,15,11,1,2.83,-0.23,0.2206111111,1,15.18361111
40,,,0,13,24,26,59,14,6.3,0.65,0.2233333333,1,26.98722222
41,23,And,0,13,30.8,41,2,7,5.72,0.31,0.2252222222,1,41.03527778
42,,,0,13,42.1,-26,1,19,5.94,1.55,0.2283611111,-1,-26.02194444
43,,,0,13,44.2,-26,17,5,6.31,1.48,0.2289444444,-1,-26.28472222
44,,,0,14,2.3,33,12,22,6.25,-0.01,0.2339722222,1,33.20611111
45,89Chi,Peg,0,14,36.2,20,12,24,4.8,1.57,0.2433888889,1,20.20666667
46,,,0,14,27.6,-7,46,50,5.12,1.62,0.241,-1,-7.780555556
47,,,0,13,19.4,-84,59,39,5.77,1.72,0.2220555556,-1,-84.99416667
48,7,Cet,0,14,38.4,-18,55,58,4.44,1.66,0.244,-1,-18.93277778
49,,,0,14,56.1,22,17,3,6.24,-0.01,0.2489166667,1,22.28416667
50,35,Psc,0,14,58.8,8,49,15,5.79,0.31,0.2496666667,1,8.820833333
