ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,AlphaLabel,Distance (ly),Label
1,NGC 188,Open Cluster,Cep,0,44.4,+,85,20,8.1,Size: 14,0.0,,NGC 188
2,NGC 40,Planetary Nebula,Cep,0,13,+,72,32,12.4,Size: 0.6,1,,NGC 40
3,NGC 4236,Spiral Galaxy,Dra,12,16.7,+,69,28,9.7,Size: 19 x 7,0,,NGC 4236
4,NGC 7023,Bright Nebula,Cep,21,1.8,+,68,12,--,Size: 18 x 18,0,,NGC 7023
5,IC 342,Spiral Galaxy,Cam,3,46.8,+,68,6,9.2,Size: 18 x 17,0,,IC 342
6,NGC 6543,Planetary Nebula,Dra,17,58.6,+,66,38,8.1,Size: 0.3/5.8,0,,NGC 6543
7,NGC 2403,Spiral Galaxy,Cam,7,36.9,+,65,36,8.4,Size: 18 x 10,0,,NGC 2403
8,NGC 559,Open Cluster,Cas,1,29.5,+,63,18,9.5,Size: 4,0,,NGC 559
9,Sh2-155,Bright Nebula,Cep,22,56.8,+,62,37,--,Size: 50 x 10,0,,Sh2-155
10,NGC 663,Open Cluster,Cas,1,46,+,61,15,7.1,Size: 16,0,,NGC 663
11,NGC 7635,Bright Nebula,Cas,23,20.7,+,61,12,--,Size: 15 x 8,0,,NGC 7635
12,NGC 6946,Spiral Galaxy,Cep,20,34.8,+,60,9,8.9,Size: 11 x 10,0,,NGC 6946
13,NGC 457,Open Cluster,Cas,1,19.1,+,58,20,6.4,Size: 13,0,,NGC 457
14,NGC 869/884,Open Cluster,Per,2,20,+,57,8,4.3,Size: 30 and 30,0,,NGC 869/884
15,NGC 6826,Planetary Nebula,Cyg,19,44.8,+,50,31,8.8,Size: 0.5/2.3,0,,NGC 6826
16,NGC 7243,Open Cluster,Lac,22,15.3,+,49,53,6.4,Size: 21,0,,NGC 7243
17,NGC 147,Elliptical Galaxy,Cas,0,33.2,+,48,30,9.3,Size: 13 x 8,0,,NGC 147
18,NGC 185,Elliptical Galaxy,Cas,0,39,+,48,20,9.2,Size: 12 x 10,0,,NGC 185
19,IC 5146,Bright Nebula,Cyg,21,53.5,+,47,16,--,Size: 12 x 12,0,,IC 5146
20,NGC 7000,Bright Nebula,Cyg,20,58.8,+,44,20,--,Size: 120 x 100,0,,NGC 7000
21,NGC 4449,Irregular Galaxy,CVn,12,28.2,+,44,6,9.4,Size: 5 x 4,0,,NGC 4449
22,NGC 7662,Planetary Nebula,And,23,25.9,+,42,33,8.3,Size: 0.3/2.2,0,,NGC 7662
23,NGC 891,Spiral Galaxy,And,2,22.6,+,42,21,9.9,Size: 14 x 3,0,,NGC 891
24,NGC 1275,Irregular Galaxy,Per,3,19.8,+,41,31,11.6,Size: 2.6 x 2,0,,NGC 1275
25,NGC 2419,Globular Cluster,Lyn,7,38.1,+,38,53,10.4,Size: 4.1,0,,NGC 2419
26,NGC 4244,Spiral Galaxy,CVn,12,17.5,+,37,49,10.2,Size: 16 x 2.5,0,,NGC 4244
27,NGC 6888,Bright Nebula,Cyg,20,12,+,38,21,--,Size: 20 x 10,0,,NGC 6888
28,NGC 752,Open Cluster,And,1,57.8,+,37,41,5.7,Size: 50,0,,NGC 752
29,NGC 5005,Spiral Galaxy,CVn,13,10.9,+,37,3,9.8,Size: 5.4 x 2,0,,NGC 5005
30,NGC 7331,Spiral Galaxy,Peg,22,37.1,+,34,25,9.5,Size: 11 x 4,0,,NGC 7331
31,IC 405,Bright Nebula,Aur,5,16.2,+,34,16,--,Size: 30 x 19,0,,IC 405
32,NGC 4631,Spiral Galaxy,CVn,12,42.1,+,32,32,9.3,Size: 15 x 3,0,,NGC 4631
